stat-name,user,supervisor,hypervisor,machine,total
cycles,19488439499,10209155,0,2331539,19500980193
commits,15020238347,5141802,0,1573439,15026953588
ins_fetch,15779852679,5810439,0,1687978,15787351096
sim_time_milli_sec,0,0,0,0,2476235
insn_mem_delay,248654,534212,0,3742,786608
data_mem_delay,366770,1440905,0,1930,1809605
exec_unit_delay,16907913959,6628564,0,1455686,16915998209
load_insn,2313564764,1297450,0,447371,2315309585
store_insn,640037635,818257,0,403539,641259431
atomic_insn,213,16946,0,0,17159
system_insn,518,130221,0,119097,249836
aritmetic_insn,8770185958,2045307,0,456103,8772687368
cond_branches,2573094466,542975,0,91564,2573729005
jal_insn,238251829,124098,0,9983,238385910
jalr_insn,98831026,146326,0,45782,99023134
int_mul_insn,386270133,14120,0,0,386284253
int_div_insn,633,150,0,0,783
fp_load_insn,287,2944,0,0,3231
fp_store_insn,343,3008,0,0,3351
fp_add_insn,40,0,0,0,40
fp_mul_insn,40,0,0,0,40
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,9,0,0,0,9
fp_misc_insn,453,0,0,0,453
load_byte_insn,388729656,20627,0,0,388750283
load_half_word_insn,741970426,1889,0,0,741972315
load_word_insn,196935099,229057,0,33849,197198005
load_double_word_insn,985929870,1048821,0,413522,987392213
itlb_reads,2115700716,691821,0,218698,2116611235
itlb_hits,2115690656,554261,0,190932,2116435849
load_tlb_reads,2313565226,1317194,0,447371,2315329791
load_tlb_hits,2313545684,1170809,0,401589,2315118082
store_tlb_reads,640038230,838059,0,403539,641279828
store_tlb_hits,640030526,774263,0,387706,641192495
cond_branches_taken,1560532050,233979,0,41884,1560807913
cond_branches_pred_correct,2241424823,357857,0,61345,2241844025
cond_branches_pred_incorrect,331669643,185118,0,30219,331884980
uncond_branches_pred_correct,288059038,92262,0,21652,288172952
uncond_branches_pred_incorrect,49023817,178162,0,34113,49236092
btb_reads,18690030000,6623838,0,1835307,18698489145
btb_hits,5469649456,806644,0,180098,5470636198
btb_inserts,293020954,578251,0,90694,293689899
btb_updates,2824641614,689994,0,135396,2825467004
int_regfile_reads,10894113536,3851450,0,1239636,10899204622
int_regfile_writes,11555558553,3474411,0,915407,11559948371
fp_regfile_reads,720,3008,0,0,3728
fp_regfile_writes,634,2944,0,0,3578
csr_reads,87,84383,0,105214,189684
csr_writes,42,60103,0,59432,119577
fu_alu_accesses,14633993108,4997322,0,1454342,14640444772
fu_mul_accesses,386270942,14120,0,0,386285062
fu_div_accesses,633,150,0,0,783
fu_fpu_alu_accesses,542,0,0,0,542
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10060,137582,0,0,147642
load_page_walks,19542,146385,0,0,165927
store_page_walks,7704,63796,0,0,71500
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,9983,0,0,9983
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,382,0,0,0,382
supervisor_ecall,0,1950,0,0,1950
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,121,8,0,0,129
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1950,0,0,0,1950
machine_timer_interrupt,1950,0,0,0,1950
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,466837015,619921,0,195362,467652298
L1_icache_reads,15779852679,5810439,0,1687978,15787351096
L1_icache_read_misses,7122,27160,0,287,34569
L1_dcache_reads,2313674073,2016788,0,437388,2316128249
L1_dcache_read_misses,9429,23183,0,55,32667
L1_dcache_writes,640038163,838045,0,401589,641277797
L1_dcache_write_misses,933,10475,0,81,11489
L2_cache_reads,17571,61008,0,423,79002
L2_cache_read_misses,8820,28403,0,80,37303
L2_cache_writes,4035,17537,0,66,21638
L2_cache_write_misses,41,142,0,0,183
