stat-name,user,supervisor,hypervisor,machine,total
cycles,19885185749,10389837,0,2381099,19897956685
commits,15564508721,5251882,0,1606010,15571366613
ins_fetch,16473417843,5953428,0,1723000,16481094271
sim_time_milli_sec,0,0,0,0,2562444
insn_mem_delay,245415,529462,0,4682,779559
data_mem_delay,367215,1419071,0,2269,1788555
exec_unit_delay,17894364415,6731653,0,1486131,17902582199
load_insn,1698572599,1321880,0,456630,1700351109
store_insn,502723492,833863,0,411890,503969245
atomic_insn,210,16954,0,0,17164
system_insn,534,133184,0,121560,255278
aritmetic_insn,10212202559,2089996,0,465550,10214758105
cond_branches,2303838112,559355,0,93460,2304490927
jal_insn,253545577,126699,0,10190,253682466
jalr_insn,113393647,149239,0,46730,113589616
int_mul_insn,480230166,14412,0,0,480244578
int_div_insn,653,156,0,0,809
fp_load_insn,287,3040,0,0,3327
fp_store_insn,343,3104,0,0,3447
fp_add_insn,40,0,0,0,40
fp_mul_insn,40,0,0,0,40
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,9,0,0,0,9
fp_misc_insn,453,0,0,0,453
load_byte_insn,342522604,21509,0,0,342544113
load_half_word_insn,747813923,1970,0,0,747815893
load_word_insn,251990589,233471,0,34550,252258610
load_double_word_insn,356245770,1067970,0,422080,357735820
itlb_reads,1966888717,719861,0,223224,1967831802
itlb_hits,1966878419,578665,0,194884,1967651968
load_tlb_reads,1698573059,1341726,0,456630,1700371415
load_tlb_hits,1698552304,1190855,0,409900,1700153059
store_tlb_reads,502724085,853767,0,411890,503989742
store_tlb_hits,502716169,788553,0,395730,503900452
cond_branches_taken,1349586621,248173,0,42752,1349877546
cond_branches_pred_correct,1908922999,360838,0,62593,1909346430
cond_branches_pred_incorrect,394915113,198517,0,30867,395144497
uncond_branches_pred_correct,306290339,93750,0,22081,306406170
uncond_branches_pred_incorrect,60648885,182188,0,34839,60865912
btb_reads,19144195179,6788721,0,1873380,19152857280
btb_hits,4922041051,836033,0,183773,4923060857
btb_inserts,362679996,589776,0,92627,363362399
btb_updates,2572691626,709430,0,138200,2573539256
int_regfile_reads,11378118392,3948185,0,1265334,11383331911
int_regfile_writes,12489093077,3546012,0,934360,12493573449
fp_regfile_reads,721,3104,0,0,3825
fp_regfile_writes,634,3040,0,0,3674
csr_reads,87,86344,0,107390,193821
csr_writes,42,61547,0,60660,122249
fu_alu_accesses,15084305422,5104140,0,1484450,15090894012
fu_mul_accesses,480231148,14412,0,0,480245560
fu_div_accesses,653,156,0,0,809
fu_fpu_alu_accesses,542,0,0,0,542
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10298,141218,0,0,151516
load_page_walks,20755,150871,0,0,171626
store_page_walks,7916,65214,0,0,73130
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10190,0,0,10190
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,399,0,0,0,399
supervisor_ecall,0,1990,0,0,1990
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,121,8,0,0,129
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1990,0,0,0,1990
machine_timer_interrupt,1990,0,0,0,1990
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,554398355,642846,0,199446,555240647
L1_icache_reads,16473417843,5953428,0,1723000,16481094271
L1_icache_read_misses,7227,27584,0,296,35107
L1_dcache_reads,1698686589,2060284,0,446440,1701193313
L1_dcache_read_misses,9598,23460,0,59,33117
L1_dcache_writes,502724017,853753,0,409900,503987670
L1_dcache_write_misses,927,10406,0,84,11417
L2_cache_reads,17876,61642,0,439,79957
L2_cache_read_misses,8726,28107,0,99,36932
L2_cache_writes,4083,17673,0,62,21818
L2_cache_write_misses,44,147,0,1,192
