stat-name,user,supervisor,hypervisor,machine,total
cycles,17501632962,10293015,0,2370036,17514296013
commits,15020244600,4908544,0,1416695,15026569839
ins_fetch,16742714608,6368811,0,1572660,16750656079
sim_time_milli_sec,0,0,0,0,2754620
insn_mem_delay,279051,610057,0,5268,894376
data_mem_delay,374936,1475317,0,2184,1852437
exec_unit_delay,0,0,0,0,0
load_insn,2313565752,1230988,0,402781,2315199521
store_insn,640037974,772323,0,363307,641173604
atomic_insn,213,17174,0,0,17387
system_insn,519,120310,0,107202,228031
aritmetic_insn,8770188908,1969161,0,410737,8772568806
cond_branches,2573095551,525895,0,82450,2573703896
jal_insn,238252074,117376,0,8993,238378443
jalr_insn,98831131,136557,0,41225,99008913
int_mul_insn,386270194,13049,0,0,386283243
int_div_insn,722,271,0,0,993
fp_load_insn,410,2688,0,0,3098
fp_store_insn,345,2752,0,0,3097
fp_add_insn,85,0,0,0,85
fp_mul_insn,68,0,0,0,68
fp_fma_insn,34,0,0,0,34
fp_div_sqrt_insn,26,0,0,0,26
fp_misc_insn,594,0,0,0,594
load_byte_insn,388730071,18875,0,0,388748946
load_half_word_insn,741970435,2207,0,0,741972642
load_word_insn,196935067,220593,0,30481,197186141
load_double_word_insn,985930589,992001,0,372300,987294890
itlb_reads,2195980165,734838,0,198698,2196913701
itlb_hits,2195964206,598590,0,173704,2196736500
load_tlb_reads,2366533521,1304947,0,402786,2368241254
load_tlb_hits,2358785818,1169548,0,361561,2360316927
store_tlb_reads,640038572,792096,0,363307,641193975
store_tlb_hits,640031520,734004,0,349061,641114585
cond_branches_taken,1404797322,228638,0,37723,1405063683
cond_branches_pred_correct,2278928218,346315,0,53497,2279328030
cond_branches_pred_incorrect,337237075,196585,0,34485,337468145
uncond_branches_pred_correct,291726508,80513,0,17708,291824729
uncond_branches_pred_incorrect,62455331,207528,0,34281,62697140
btb_reads,19713061740,7199752,0,1712631,19721974123
btb_hits,5741269179,863024,0,174906,5742307109
btb_inserts,295643885,574712,0,92548,296311145
btb_updates,2884604000,706433,0,129227,2885439660
int_regfile_reads,0,0,0,0,0
int_regfile_writes,11555562847,3324159,0,824262,11559711268
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,930,2688,0,0,3618
csr_reads,75,78360,0,94707,173142
csr_writes,36,56201,0,53482,109719
fu_alu_accesses,14979429923,5062976,0,1324264,14985817163
fu_mul_accesses,399429271,13085,0,0,399442356
fu_div_accesses,767,334,0,0,1101
fu_fpu_alu_accesses,840,0,0,0,840
fu_fpu_fma_accesses,34,0,0,0,34
ins_page_walks,15959,136267,0,0,152226
load_page_walks,7747698,135195,0,0,7882893
store_page_walks,7052,58092,0,0,65144
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,8993,0,0,8993
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,391,0,0,0,391
supervisor_ecall,0,1751,0,0,1751
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1751,0,0,0,1751
machine_timer_interrupt,1751,0,0,0,1751
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,11,0,0,11
machine_external_interrupt,0,0,0,0,0
pipeline_flush,487873979,655871,0,186712,488716562
L1_icache_reads,16742714608,6368811,0,1572660,16750656079
L1_icache_read_misses,9282,34832,0,314,44428
L1_dcache_reads,2366650161,1965651,0,393793,2369009605
L1_dcache_read_misses,9753,24425,0,69,34247
L1_dcache_writes,640038504,792070,0,361556,641192130
L1_dcache_write_misses,913,10753,0,71,11737
L2_cache_reads,20035,70238,0,454,90727
L2_cache_read_misses,9578,30956,0,97,40631
L2_cache_writes,4074,18080,0,72,22226
L2_cache_write_misses,72,167,0,1,240
