stat-name,user,supervisor,hypervisor,machine,total
cycles,19488425906,9717400,0,2339574,19500482880
commits,15020280999,5245485,0,1581286,15027107770
ins_fetch,15779901008,5944037,0,1696645,15787541690
sim_time_milli_sec,0,0,0,0,2473286
insn_mem_delay,211959,384563,0,1217,597739
data_mem_delay,325223,937993,0,716,1263932
exec_unit_delay,16907934139,6310200,0,1462382,16915706721
load_insn,2313573041,1323354,0,449554,2315345949
store_insn,640044115,833864,0,405486,641283465
atomic_insn,289,17855,0,0,18144
system_insn,954,132176,0,119628,252758
aritmetic_insn,8770202514,2083167,0,458522,8772744203
cond_branches,2573099936,555896,0,92036,2573747868
jal_insn,238252914,127583,0,10042,238390539
jalr_insn,98831986,150387,0,46018,99028391
int_mul_insn,386270175,14251,0,0,386284426
int_div_insn,659,168,0,0,827
fp_load_insn,1263,3360,0,0,4623
fp_store_insn,799,3424,0,0,4223
fp_add_insn,208,0,0,0,208
fp_mul_insn,152,0,0,0,152
fp_fma_insn,68,0,0,0,68
fp_div_sqrt_insn,21,0,0,0,21
fp_misc_insn,1905,0,0,0,1905
load_byte_insn,388730313,20982,0,0,388751295
load_half_word_insn,741970507,2832,0,0,741973339
load_word_insn,196936363,234014,0,34026,197204403
load_double_word_insn,985937121,1068886,0,415528,987421535
itlb_reads,2115705956,714000,0,219760,2116639716
itlb_hits,2115695271,573982,0,191876,2116461129
load_tlb_reads,2313574519,1344143,0,449554,2315368216
load_tlb_hits,2313554109,1197634,0,403536,2315155279
store_tlb_reads,640045203,854711,0,405486,641305400
store_tlb_hits,640037416,790824,0,389594,641217834
cond_branches_taken,1560534298,245373,0,42120,1560821791
cond_branches_pred_correct,2241428700,359866,0,61581,2241850147
cond_branches_pred_incorrect,331671236,196030,0,30455,331897721
uncond_branches_pred_correct,288059812,94932,0,21714,288176458
uncond_branches_pred_incorrect,49025088,183038,0,34346,49242472
btb_reads,18690085844,6777903,0,1844741,18698708488
btb_hits,5469658698,825408,0,180804,5470664910
btb_inserts,293026281,593767,0,91404,293711452
btb_updates,2824648410,707061,0,136104,2825491575
int_regfile_reads,10894141851,3935707,0,1245894,10899323452
int_regfile_writes,11555585174,3542167,0,920068,11560047409
fp_regfile_reads,2785,3424,0,0,6209
fp_regfile_writes,2694,3360,0,0,6054
csr_reads,471,85931,0,105686,192088
csr_writes,234,61336,0,59668,121238
fu_alu_accesses,14634033558,5098900,0,1461658,14640594116
fu_mul_accesses,386270943,14251,0,0,386285194
fu_div_accesses,659,168,0,0,827
fu_fpu_alu_accesses,2286,0,0,0,2286
fu_fpu_fma_accesses,68,0,0,0,68
ins_page_walks,10685,140040,0,0,150725
load_page_walks,20410,146509,0,0,166919
store_page_walks,7787,63887,0,0,71674
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10042,0,0,10042
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,430,0,0,0,430
supervisor_ecall,0,1950,0,0,1950
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,118,8,0,0,126
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1950,0,0,0,1950
machine_timer_interrupt,1950,0,0,0,1950
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,4,12,0,0,16
machine_external_interrupt,0,0,0,0,0
pipeline_flush,466841000,641114,0,196421,467678535
L1_icache_reads,15779901008,5944037,0,1696645,15787541690
L1_icache_read_misses,9034,32707,0,354,42095
L1_dcache_reads,2313688019,2049295,0,439512,2316176826
L1_dcache_read_misses,10723,25227,0,85,36035
L1_dcache_writes,640045141,854672,0,403536,641303349
L1_dcache_write_misses,1420,10751,0,79,12250
L2_cache_reads,21282,68917,0,518,90717
L2_cache_read_misses,7706,19971,0,26,27703
L2_cache_writes,4869,18374,0,75,23318
L2_cache_write_misses,8,32,0,0,40
