stat-name,user,supervisor,hypervisor,machine,total
cycles,19917743255,11369870,0,2439086,19931552211
commits,15001692375,5633069,0,1614900,15008940344
ins_fetch,16060402829,6398290,0,1752722,16068553841
sim_time_milli_sec,0,0,0,0,2614712
insn_mem_delay,253012,704763,0,4240,962015
data_mem_delay,389227,1585748,0,2269,1977244
exec_unit_delay,16891055515,7260741,0,1494407,16899810663
load_insn,2295418980,1409236,0,459118,2297287334
store_insn,644416805,878055,0,414116,645708976
atomic_insn,234,18465,0,0,18699
system_insn,585,136641,0,122181,259407
aritmetic_insn,8767566157,2286598,0,468246,8770321001
cond_branches,2569926464,590414,0,93990,2570610868
jal_insn,239115694,135634,0,10254,239261582
jalr_insn,98975139,156138,0,46995,99178272
int_mul_insn,386270303,14694,0,0,386284997
int_div_insn,710,218,0,0,928
fp_load_insn,338,3456,0,0,3794
fp_store_insn,352,3520,0,0,3872
fp_add_insn,60,0,0,0,60
fp_mul_insn,40,0,0,0,40
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,11,0,0,0,11
fp_misc_insn,503,0,0,0,503
load_byte_insn,387086316,22491,0,0,387108807
load_half_word_insn,738517915,3372,0,0,738521287
load_word_insn,198004396,269601,0,34748,198308745
load_double_word_insn,971810691,1117228,0,424370,973352289
itlb_reads,2271645437,766086,0,248078,2272659601
itlb_hits,2271634952,623210,0,219598,2272477760
load_tlb_reads,2295419507,1430785,0,459118,2297309410
load_tlb_hits,2295399044,1265654,0,412123,2297076821
store_tlb_reads,644417423,899662,0,414116,645731201
store_tlb_hits,644409409,831191,0,397883,645638483
cond_branches_taken,1636693178,266451,0,54832,1637014461
cond_branches_pred_correct,2079723052,369280,0,47929,2080140261
cond_branches_pred_incorrect,490203412,221134,0,46061,490470607
uncond_branches_pred_correct,289938466,99581,0,22189,290060236
uncond_branches_pred_incorrect,48152367,192191,0,35060,48379618
btb_reads,18968420126,7280476,0,1903961,18977604563
btb_hits,5506584391,886042,0,184685,5507655118
btb_inserts,285381710,621816,0,93299,286096825
btb_updates,2822162976,750286,0,138992,2823052254
int_regfile_reads,10961059247,4268368,0,1277448,10966605063
int_regfile_writes,11535112035,3836583,0,939611,11539888229
fp_regfile_reads,815,3520,0,0,4335
fp_regfile_writes,713,3456,0,0,4169
csr_reads,90,89044,0,107941,197075
csr_writes,43,63834,0,60946,124823
fu_alu_accesses,14615446456,5481529,0,1492719,14622420704
fu_mul_accesses,386271083,14694,0,0,386285777
fu_div_accesses,710,218,0,0,928
fu_fpu_alu_accesses,614,0,0,0,614
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10485,142898,0,0,153383
load_page_walks,20463,165131,0,0,185594
store_page_walks,8014,68471,0,0,76485
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10254,0,0,10254
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,439,0,0,0,439
supervisor_ecall,0,1993,0,0,1993
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,121,8,0,0,129
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1992,1,0,0,1993
machine_timer_interrupt,1992,1,0,0,1993
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,6,19,0,0,25
machine_external_interrupt,0,0,0,0,0
pipeline_flush,641040880,685894,0,215549,641942323
L1_icache_reads,16060402829,6398290,0,1752722,16068553841
L1_icache_read_misses,9885,41047,0,351,51283
L1_dcache_reads,2295533419,2188284,0,448864,2298170567
L1_dcache_read_misses,10111,26554,0,77,36742
L1_dcache_writes,644417354,899603,0,412123,645729080
L1_dcache_write_misses,972,11079,0,94,12145
L2_cache_reads,21051,78889,0,522,100462
L2_cache_read_misses,9639,34394,0,93,44126
L2_cache_writes,4233,18809,0,86,23128
L2_cache_write_misses,57,197,0,1,255
