stat-name,user,supervisor,hypervisor,machine,total
cycles,21302739955,11596695,0,2598517,21316935167
commits,15001688688,5812674,0,1722854,15009224216
ins_fetch,16625529204,6634477,0,1866650,16634030331
sim_time_milli_sec,0,0,0,0,2746542
insn_mem_delay,235474,695095,0,6404,936973
data_mem_delay,373052,1501086,0,2723,1876861
exec_unit_delay,17081615733,7363194,0,1594048,17090572975
load_insn,2295417820,1456469,0,489838,2297364127
store_insn,644416135,909611,0,441838,645767584
atomic_insn,226,18112,0,0,18338
system_insn,586,143062,0,130386,274034
aritmetic_insn,8767565462,2354369,0,499462,8770419293
cond_branches,2569925476,605787,0,100264,2570631527
jal_insn,239115556,140381,0,10934,239266871
jalr_insn,98975057,162587,0,50132,99187776
int_mul_insn,386270316,15482,0,0,386285798
int_div_insn,705,222,0,0,927
fp_load_insn,350,3264,0,0,3614
fp_store_insn,357,3328,0,0,3685
fp_add_insn,63,0,0,0,63
fp_mul_insn,42,0,0,0,42
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,11,0,0,0,11
fp_misc_insn,526,0,0,0,526
load_byte_insn,387085938,22684,0,0,387108622
load_half_word_insn,738517900,3286,0,0,738521186
load_word_insn,198004525,278154,0,37066,198319745
load_double_word_insn,971809807,1155609,0,452772,973418188
itlb_reads,2666320393,806788,0,250634,2667377815
itlb_hits,2666309515,657874,0,220238,2667187627
load_tlb_reads,2295418353,1477478,0,489838,2297385669
load_tlb_hits,2250418089,1314555,0,439706,2252172350
store_tlb_reads,644416745,930678,0,441838,645789261
store_tlb_hits,616780515,861045,0,424508,618066068
cond_branches_taken,1815937259,282276,0,51459,1816270994
cond_branches_pred_correct,1691499986,362810,0,53081,1691915877
cond_branches_pred_incorrect,878425490,242977,0,47183,878715650
uncond_branches_pred_correct,289132522,103687,0,23690,289259899
uncond_branches_pred_incorrect,48958091,199281,0,37376,49194748
btb_reads,19533545293,7543232,0,2027980,19543116505
btb_hits,5529432357,908118,0,197124,5530537599
btb_inserts,286581356,643269,0,99404,287324029
btb_updates,2822161839,771656,0,148264,2823081759
int_regfile_reads,11415492824,4410097,0,1361611,11421264532
int_regfile_writes,11535110105,3956800,0,1002366,11540069271
fp_regfile_reads,841,3328,0,0,4169
fp_regfile_writes,742,3264,0,0,4006
csr_reads,94,92831,0,115188,208113
csr_writes,45,66174,0,65056,131275
fu_alu_accesses,14615441945,5653918,0,1592468,14622688331
fu_mul_accesses,386271053,15482,0,0,386286535
fu_div_accesses,705,222,0,0,927
fu_fpu_alu_accesses,642,0,0,0,642
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10878,148937,0,0,159815
load_page_walks,45000264,162923,0,0,45163187
store_page_walks,27636230,69633,0,0,27705863
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10934,0,0,10934
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,440,0,0,0,440
supervisor_ecall,0,2132,0,0,2132
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,114,8,0,0,122
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,2132,0,0,0,2132
machine_timer_interrupt,2132,0,0,0,2132
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,19,0,0,19
machine_external_interrupt,0,0,0,0,0
pipeline_flush,1243118441,726426,0,228011,1244072878
L1_icache_reads,16625529204,6634477,0,1866650,16634030331
L1_icache_read_misses,10503,40962,0,383,51848
L1_dcache_reads,2513357395,2244872,0,478904,2516081171
L1_dcache_read_misses,9901,25781,0,75,35757
L1_dcache_writes,644416681,930629,0,439706,645787016
L1_dcache_write_misses,915,10825,0,102,11842
L2_cache_reads,21440,77787,0,560,99787
L2_cache_read_misses,9095,33195,0,132,42422
L2_cache_writes,4129,18200,0,99,22428
L2_cache_write_misses,50,156,0,1,207
