stat-name,user,supervisor,hypervisor,machine,total
cycles,21124903357,10921986,0,2570264,21138395607
commits,15020263835,5474273,0,1707020,15027445128
ins_fetch,16634141796,6270536,0,1849416,16642261748
sim_time_milli_sec,0,0,0,0,2729410
insn_mem_delay,271168,547421,0,3816,822405
data_mem_delay,394508,1433974,0,1220,1829702
exec_unit_delay,16907966740,6976538,0,1578689,16916521967
load_insn,2313570798,1381884,0,485344,2315438026
store_insn,640040973,873586,0,437788,641352347
atomic_insn,335,17630,0,0,17965
system_insn,582,140182,0,129198,269962
aritmetic_insn,8770195771,2167626,0,494848,8772858245
cond_branches,2573098840,580339,0,99340,2573778519
jal_insn,238252554,133308,0,10832,238396694
jalr_insn,98831711,157765,0,49670,99039146
int_mul_insn,386270257,15202,0,0,386285459
int_div_insn,646,159,0,0,805
fp_load_insn,357,3264,0,0,3621
fp_store_insn,362,3328,0,0,3690
fp_add_insn,64,0,0,0,64
fp_mul_insn,44,0,0,0,44
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,9,0,0,0,9
fp_misc_insn,532,0,0,0,532
load_byte_insn,388730162,20581,0,0,388750743
load_half_word_insn,741970454,2128,0,0,741972582
load_word_insn,196936305,243869,0,36724,197216898
load_double_word_insn,985934234,1118570,0,448620,987501424
itlb_reads,2669420526,778900,0,248274,2670447700
itlb_hits,2669409898,632891,0,218154,2670260943
load_tlb_reads,2313571405,1402428,0,485344,2315459177
load_tlb_hits,2313548334,1245466,0,435674,2315229474
store_tlb_reads,640041655,894186,0,437788,641373629
store_tlb_hits,640032915,827041,0,420614,641280570
cond_branches_taken,1820080370,273641,0,50951,1820404962
cond_branches_pred_correct,1695898265,342534,0,52630,1696293429
cond_branches_pred_incorrect,877200575,237805,0,46710,877485090
uncond_branches_pred_correct,288181713,100520,0,23487,288305720
uncond_branches_pred_incorrect,48902552,190553,0,37015,49130120
btb_reads,19544324901,7141948,0,2009258,19553476107
btb_hits,5528515904,865531,0,195360,5529576795
btb_inserts,292901270,619104,0,98432,293618806
btb_updates,2824647086,738507,0,146896,2825532489
int_regfile_reads,11425226871,4136243,0,1349079,11430712193
int_regfile_writes,11555575120,3691199,0,993138,11560259457
fp_regfile_reads,856,3328,0,0,4184
fp_regfile_writes,752,3264,0,0,4016
csr_reads,95,90763,0,114138,204996
csr_writes,46,64535,0,64468,129049
fu_alu_accesses,14634017159,5318739,0,1577822,14640913720
fu_mul_accesses,386271073,15202,0,0,386286275
fu_div_accesses,646,159,0,0,805
fu_fpu_alu_accesses,649,0,0,0,649
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10628,146032,0,0,156660
load_page_walks,23071,156962,0,0,180033
store_page_walks,8740,67145,0,0,75885
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10832,0,0,10832
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,415,0,0,0,415
supervisor_ecall,0,2114,0,0,2114
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,114,8,0,0,122
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,2114,0,0,0,2114
machine_timer_interrupt,2114,0,0,0,2114
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,1248921649,705244,0,225869,1249852762
L1_icache_reads,16634141796,6270536,0,1849416,16642261748
L1_icache_read_misses,10577,37359,0,332,48268
L1_dcache_reads,2313695793,2146848,0,474512,2316317153
L1_dcache_read_misses,10230,24130,0,70,34430
L1_dcache_writes,640041594,894170,0,435674,641371438
L1_dcache_write_misses,1011,10737,0,84,11832
L2_cache_reads,21922,72435,0,486,94843
L2_cache_read_misses,9565,28814,0,69,38448
L2_cache_writes,4428,17968,0,74,22470
L2_cache_write_misses,61,110,0,0,171
